name,funding,employees,revenue,rating,location,year_founded
TechHub India,15000000,120,8000000,4.7,Bangalore,2015
StartupGrid,8000000,75,4500000,4.5,Mumbai,2016
InnovateSphere,12000000,95,6000000,4.6,Hyderabad,2014
VentureNest,20000000,150,10000000,4.8,Delhi,2013
IdeaForge,6000000,50,3000000,4.3,Pune,2017
LaunchPad Pro,18000000,130,9000000,4.7,Chennai,2015
Catalyst Hub,10000000,85,5500000,4.4,Kolkata,2016
GrowthLab,14000000,110,7000000,4.6,Bangalore,2014
AccelerateX,9000000,70,4000000,4.5,Mumbai,2018
FutureWorks,16000000,125,8500000,4.8,Hyderabad,2013
